x	y	e
0.100	0.759	0.004
0.200	0.768	0.002
0.300	0.763	0.004
0.400	0.760	0.004
0.500	0.765	0.003
0.600	0.776	0.003
0.700	0.776	0.003
0.800	0.777	0.005
