x	y	e
0.100	0.740	0.003
0.200	0.744	0.004
0.300	0.749	0.004
0.400	0.749	0.004
0.500	0.756	0.004
0.600	0.766	0.003
0.700	0.774	0.003
0.800	0.773	0.003
