x	y	e
0.100	0.614	0.001
0.200	0.626	0.002
0.300	0.631	0.002
0.400	0.631	0.003
0.500	0.629	0.002
0.600	0.630	0.001
0.700	0.635	0.002
0.800	0.639	0.002
