x	y	e
0.100	0.690	0.003
0.200	0.696	0.003
0.300	0.693	0.003
0.400	0.698	0.003
0.500	0.695	0.005
0.600	0.699	0.003
0.700	0.708	0.003
0.800	0.710	0.003
