x	y	e
0.100	0.725	0.001
0.200	0.735	0.002
0.300	0.733	0.002
0.400	0.734	0.002
0.500	0.740	0.002
0.600	0.742	0.002
0.700	0.759	0.002
0.800	0.763	0.002
