x	y	e
0.100	0.634	0.002
0.200	0.635	0.002
0.300	0.641	0.002
0.400	0.639	0.001
0.500	0.638	0.001
0.600	0.641	0.002
0.700	0.641	0.003
0.800	0.635	0.002
