x	y	e
0.100	0.644	0.001
0.200	0.644	0.001
0.300	0.644	0.002
0.400	0.645	0.002
0.500	0.644	0.002
0.600	0.644	0.002
0.700	0.644	0.002
0.800	0.645	0.001
