x	y	e
0.100	0.745	0.003
0.200	0.756	0.004
0.300	0.750	0.003
0.400	0.751	0.003
0.500	0.754	0.003
0.600	0.761	0.002
0.700	0.762	0.002
0.800	0.766	0.003
