x	y	e
0.100	0.722	0.001
0.200	0.718	0.001
0.300	0.718	0.001
0.400	0.718	0.001
0.500	0.718	0.001
0.600	0.716	0.001
0.700	0.723	0.000
0.800	0.720	0.000
