x	y	e
0.100	0.646	0.002
0.200	0.642	0.001
0.300	0.640	0.002
0.400	0.641	0.002
0.500	0.639	0.001
0.600	0.641	0.001
0.700	0.647	0.002
0.800	0.645	0.002
