x	y	e
0.100	0.678	0.003
0.200	0.683	0.004
0.300	0.678	0.003
0.400	0.676	0.004
0.500	0.675	0.004
0.600	0.685	0.003
0.700	0.683	0.003
0.800	0.685	0.003
