x	y	e
0.100	0.710	0.003
0.200	0.723	0.001
0.300	0.725	0.002
0.400	0.717	0.003
0.500	0.724	0.004
0.600	0.725	0.002
0.700	0.736	0.002
0.800	0.741	0.003
