x	y	e
0.100	0.685	0.002
0.200	0.685	0.002
0.300	0.681	0.002
0.400	0.684	0.002
0.500	0.690	0.003
0.600	0.694	0.002
0.700	0.694	0.002
0.800	0.691	0.002
