x	y	e
0.100	0.690	0.004
0.200	0.700	0.003
0.300	0.693	0.004
0.400	0.691	0.004
0.500	0.690	0.003
0.600	0.703	0.002
0.700	0.701	0.004
0.800	0.705	0.003
