x	y	e
0.100	0.518	0.000
0.200	0.513	0.000
0.300	0.514	0.000
0.400	0.516	0.000
0.500	0.514	0.000
0.600	0.508	0.000
0.700	0.506	0.000
0.800	0.506	0.000
