x	y	e
0.100	0.673	0.003
0.200	0.680	0.002
0.300	0.677	0.003
0.400	0.677	0.003
0.500	0.680	0.004
0.600	0.685	0.002
0.700	0.689	0.003
0.800	0.694	0.003
