x	y	e
0.100	0.663	0.001
0.200	0.673	0.002
0.300	0.670	0.002
0.400	0.669	0.004
0.500	0.672	0.003
0.600	0.678	0.003
0.700	0.691	0.002
0.800	0.691	0.002
