x	y	e
0.100	0.667	0.002
0.200	0.663	0.003
0.300	0.660	0.003
0.400	0.659	0.002
0.500	0.661	0.001
0.600	0.659	0.002
0.700	0.663	0.003
0.800	0.662	0.002
