x	y	e
0.100	0.729	0.001
0.200	0.729	0.001
0.300	0.729	0.001
0.400	0.729	0.001
0.500	0.729	0.001
0.600	0.729	0.001
0.700	0.729	0.001
0.800	0.729	0.001
