x	y	e
0.100	0.751	0.003
0.200	0.753	0.002
0.300	0.753	0.003
0.400	0.756	0.003
0.500	0.759	0.003
0.600	0.770	0.004
0.700	0.782	0.004
0.800	0.784	0.004
