x	y	e
0.100	0.720	0.003
0.200	0.728	0.002
0.300	0.733	0.002
0.400	0.736	0.003
0.500	0.741	0.002
0.600	0.743	0.002
0.700	0.741	0.003
0.800	0.738	0.003
