x	y	e
0.100	0.501	0.000
0.200	0.486	0.000
0.300	0.490	0.000
0.400	0.489	0.000
0.500	0.490	0.000
0.600	0.490	0.000
0.700	0.490	0.000
0.800	0.488	0.000
