x	y	e
0.100	0.517	0.000
0.200	0.514	0.000
0.300	0.513	0.000
0.400	0.510	0.000
0.500	0.512	0.000
0.600	0.510	0.000
0.700	0.510	0.000
0.800	0.507	0.000
